Benchmark,RollingPeriods,Average12MExcess,Median12MExcess,Worst12MExcess,Worst12MExcessMonth,Best12MExcess,Best12MExcessMonth,Latest12MExcess,HitRate12M,StartWindow
SPY,61,-0.0316214477251982,-0.054296901032217626,-0.24248716133796555,2024-02-29,0.3269642030790627,2026-02-28,0.12683170570513336,0.39344262295081966,2020-01-01
QQQ,61,-0.059491441410951106,-0.09326673671583507,-0.5234715253320861,2023-12-31,0.3159172858408865,2022-12-31,0.10120519205190481,0.3770491803278688,2020-01-01
VTI,61,-0.02195010132534206,-0.050971743649705026,-0.23538496031108802,2023-12-31,0.32455281363171595,2026-02-28,0.11869008933769165,0.39344262295081966,2020-01-01
SPY,48,-0.02680601152143473,-0.06208225899127773,-0.24248716133796555,2024-02-29,0.3269642030790627,2026-02-28,0.12683170570513336,0.3541666666666667,2021-01-01
QQQ,48,-0.07454161149422488,-0.09836212120038734,-0.5234715253320861,2023-12-31,0.3269173838308145,2022-12-31,0.10120519205190481,0.3333333333333333,2021-01-01
VTI,48,-0.021269057083100534,-0.05650958228800862,-0.23538496031108802,2023-12-31,0.32455281363171595,2026-02-28,0.11869008933769165,0.3541666666666667,2021-01-01
SPY,36,-0.03327072025070203,-0.08053335109041104,-0.24394453041068442,2024-02-29,0.33864992824756834,2026-02-28,0.1419458304646002,0.3055555555555556,2022-01-01
QQQ,36,-0.09864416723528475,-0.10066594745700042,-0.5216409841556782,2023-12-31,0.30560944787621835,2026-02-28,0.11631931681137164,0.2777777777777778,2022-01-01
VTI,36,-0.02948914285048512,-0.07670990403835165,-0.2335544191346801,2023-12-31,0.3362385388002216,2026-02-28,0.13380421409715848,0.3055555555555556,2022-01-01
SPY,24,0.03153686569619419,-0.022970324285179866,-0.18306933880304777,2024-10-31,0.3243110660434616,2026-02-28,0.12673809597303487,0.4583333333333333,2023-01-01
QQQ,24,-0.00734211571034805,-0.03331383602763305,-0.18556998368761235,2024-10-31,0.2912705856721116,2026-02-28,0.10111158231980633,0.4166666666666667,2023-01-01
VTI,24,0.03297018319242987,-0.015981880544858273,-0.1836104229959572,2024-10-31,0.32189967659611485,2026-02-28,0.11859647960559316,0.4583333333333333,2023-01-01
