Date,StartWindow,SoftStaleActions,CorrelationActions,HardExitActions,SoftStaleTargetWeightReleased,CorrelationTargetWeightReleased,HardExitWeightToSGOV,TurnoverAfterNormalCap,TurnoverAfterHardExit,ExtraTurnoverFromHardExit
2021-11-02,2021-01-01,0,0,0,0.0,0,0.0,,,
2021-12-02,2021-01-01,6,0,1,0.36,0,0.07642210633411226,0.2,0.27642210633411224,0.07642210633411223
2021-12-31,2021-01-01,5,0,0,0.27635056078630243,0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-02-02,2021-01-01,7,0,6,0.22857932563815136,0,0.1908930939878543,0.2,0.3908930939878543,0.1908930939878543
2022-03-02,2021-01-01,3,0,7,0.0730825973552824,0,0.19291019666293643,0.2,0.3929101966629365,0.19291019666293646
2022-04-01,2021-01-01,3,0,0,0.060796280759969124,0,0.0,0.2,0.2,0.0
2022-05-02,2021-01-01,3,0,0,0.049464388265650715,0,0.0,0.15309552163625148,0.15309552163625148,0.0
2022-06-02,2021-01-01,2,0,0,0.05195584916260954,0,0.0,0.18155379101212002,0.18155379101212002,0.0
2022-07-01,2021-01-01,0,0,0,0.0,0,0.0,0.1721165340325752,0.1721165340325752,0.0
2022-08-02,2021-01-01,1,0,3,0.03,0,0.009753919414997966,0.20000000000000007,0.20975391941499805,0.00975391941499798
2022-09-02,2021-01-01,3,0,2,0.07073954219015945,0,0.0016074797398993035,0.2,0.20000000000000004,2.7755575615628914e-17
2022-09-30,2021-01-01,0,0,3,0.0,0,0.03970720957471126,0.20000000000000004,0.22447305821536895,0.02447305821536891
2022-11-02,2021-01-01,0,0,5,0.0,0,0.06222018139586222,0.2,0.2246861843163867,0.024686184316386695
2022-12-02,2021-01-01,4,0,0,0.10379891491812718,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2022-12-30,2021-01-01,7,0,3,0.1837597385202532,0,0.07838736602052801,0.19999999999999996,0.19999999999999998,2.7755575615628914e-17
2023-02-02,2021-01-01,8,0,0,0.16220285357263198,0,0.0,0.19999999999999996,0.19999999999999996,0.0
2023-03-02,2021-01-01,8,0,1,0.18000174890946136,0,0.016479405957313953,0.2,0.2,0.0
2023-03-31,2021-01-01,9,0,4,0.21114232380083767,0,0.15070505395674152,0.2,0.2843955100168836,0.08439551001688361
2023-05-02,2021-01-01,9,0,3,0.18648049757699003,0,0.10258876137383129,0.2,0.20517856072636254,0.005178560726362524
2023-06-02,2021-01-01,10,0,0,0.19650573749404981,0,0.0,0.20000000000000007,0.20000000000000007,0.0
2023-06-30,2021-01-01,7,0,0,0.145922473206212,0,0.0,0.2,0.2,0.0
2023-08-02,2021-01-01,10,0,0,0.27104111212151294,0,0.0,0.2,0.2,0.0
2023-09-01,2021-01-01,8,0,1,0.28017729967692795,0,0.03341011860643753,0.2,0.2,0.0
2023-10-02,2021-01-01,3,0,8,0.09072374031886025,0,0.3506987131931489,0.2,0.5506987131931489,0.3506987131931489
2023-11-02,2021-01-01,1,0,3,0.03159414687968749,0,0.0802155810759657,0.2,0.2,0.0
2023-12-01,2021-01-01,5,0,1,0.11135367324066706,0,0.02582143975988678,0.20000000000000004,0.20000000000000004,0.0
2024-01-02,2021-01-01,8,0,0,0.16389116611341784,0,0.0,0.20000000000000004,0.20000000000000004,0.0
2024-02-02,2021-01-01,9,0,0,0.16621792895102971,0,0.0,0.2,0.2,0.0
2024-03-01,2021-01-01,9,0,0,0.2274231315462724,0,0.0,0.20000000000000007,0.20000000000000007,0.0
2024-04-02,2021-01-01,8,0,0,0.20773958579641508,0,0.0,0.2,0.2,0.0
2024-05-02,2021-01-01,13,0,0,0.4218609646978754,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2024-05-31,2021-01-01,10,0,0,0.32363791926104973,0,0.0,0.20000000000000004,0.20000000000000004,0.0
