Month,Benchmark,ExcessReturn
2023-12-31,QQQ,-0.5234715253320861
2024-02-29,QQQ,-0.44657881753658857
2024-01-31,QQQ,-0.41616330292682013
2023-11-30,QQQ,-0.35113785581688206
2023-09-30,QQQ,-0.31166312369212257
2024-03-31,QQQ,-0.2951380166794908
2023-10-31,QQQ,-0.29188963564955683
2024-04-30,QQQ,-0.26664193283693916
2023-06-30,QQQ,-0.25045739473438644
2024-02-29,SPY,-0.24248716133796555
2023-08-31,QQQ,-0.23876242212578136
2023-12-31,SPY,-0.2366727933743964
2023-12-31,VTI,-0.23538496031108802
2024-10-31,QQQ,-0.2313877167592644
2024-02-29,VTI,-0.22686380910780146
2024-10-31,VTI,-0.22166672585918157
2024-10-31,SPY,-0.2210485627473222
2024-06-30,QQQ,-0.20767262778219076
2024-09-30,QQQ,-0.2053800227701863
2024-03-31,SPY,-0.1985662378005124
2024-01-31,SPY,-0.1971143849189878
2024-03-31,VTI,-0.19535474464818492
2024-09-30,SPY,-0.19408150985329287
2024-11-30,VTI,-0.1892358927892106
