TickerA,TickerB,Correlation,AbsCorrelation,WeightA,WeightB
SPYD,DIV,0.8996347134727629,0.8996347134727629,0.047558391046048074,0.037766955214966896
VTV,SPYD,0.8502353475572055,0.8502353475572055,0.04961234963809811,0.047558391046048074
AVUV,VTV,0.8349690839928696,0.8349690839928696,0.0766268827762239,0.04961234963809811
AVUV,RYLD,0.8057258917100752,0.8057258917100752,0.0766268827762239,0.028255781493418577
VTV,DIV,0.795151433526883,0.795151433526883,0.04961234963809811,0.037766955214966896
VTV,RYLD,0.7838002287016416,0.7838002287016416,0.04961234963809811,0.028255781493418577
AVUV,SPYD,0.7794014920275322,0.7794014920275322,0.0766268827762239,0.047558391046048074
AVUV,DIV,0.7725618238368424,0.7725618238368424,0.0766268827762239,0.037766955214966896
AVDV,EWS,0.7135873883252638,0.7135873883252638,0.04597360240834823,0.03947321646921889
AVUV,JETS,0.6980243950223792,0.6980243950223792,0.0766268827762239,0.037742840946723304
VTV,AVDV,0.6883693280596457,0.6883693280596457,0.04961234963809811,0.04597360240834823
KIE,VTV,0.6833028142545008,0.6833028142545008,0.06157203537539561,0.04961234963809811
JETS,RYLD,0.6819383601795782,0.6819383601795782,0.037742840946723304,0.028255781493418577
VTV,XLV,0.6718633501844222,0.6718633501844222,0.04961234963809811,0.039473216469218884
EWT,AVDV,0.6684412842752652,0.6684412842752652,0.08240226352355705,0.04597360240834823
AVDV,RYLD,0.6572905752018983,0.6572905752018983,0.04597360240834823,0.028255781493418577
VTV,JETS,0.6549441114636274,0.6549441114636274,0.04961234963809811,0.037742840946723304
KIE,SPYD,0.6547287688933042,0.6547287688933042,0.06157203537539561,0.047558391046048074
AVUV,AVDV,0.6449978973977446,0.6449978973977446,0.0766268827762239,0.04597360240834823
SPYD,RYLD,0.6406083462185899,0.6406083462185899,0.047558391046048074,0.028255781493418577
DIV,RYLD,0.6321504067199024,0.6321504067199024,0.037766955214966896,0.028255781493418577
KIE,DIV,0.629776515478745,0.629776515478745,0.06157203537539561,0.037766955214966896
EWS,RYLD,0.6153597074029808,0.6153597074029808,0.03947321646921889,0.028255781493418577
AVUV,KIE,0.5968163268936084,0.5968163268936084,0.0766268827762239,0.06157203537539561
SPYD,XLV,0.5948880682237323,0.5948880682237323,0.047558391046048074,0.039473216469218884
VTV,EWS,0.5914358506606955,0.5914358506606955,0.04961234963809811,0.03947321646921889
AVUV,XOP,0.5874309718682938,0.5874309718682938,0.0766268827762239,0.02992314181638194
CIBR,RYLD,0.5830798000843174,0.5830798000843174,0.06715597389878472,0.028255781493418577
EWT,EWS,0.5786370966449704,0.5786370966449704,0.08240226352355705,0.03947321646921889
AVDV,DIV,0.5738937706942789,0.5738937706942789,0.04597360240834823,0.037766955214966896
THD,AVDV,0.5725283448913754,0.5725283448913754,0.05327342931988182,0.04597360240834823
XBI,RYLD,0.5718324023027098,0.5718324023027098,0.09196153811655176,0.028255781493418577
SPYD,AVDV,0.5663021349106471,0.5663021349106471,0.047558391046048074,0.04597360240834823
AVDV,JETS,0.5662135216274513,0.5662135216274513,0.04597360240834823,0.037742840946723304
EWT,RYLD,0.5617525659474281,0.5617525659474281,0.08240226352355705,0.028255781493418577
SPYD,JETS,0.5562424120910154,0.5562424120910154,0.047558391046048074,0.037742840946723304
XBI,VTV,0.5451601703535301,0.5451601703535301,0.09196153811655176,0.04961234963809811
XBI,XLV,0.5445890340642107,0.5445890340642107,0.09196153811655176,0.039473216469218884
THD,EWS,0.5369033297109577,0.5369033297109577,0.05327342931988182,0.03947321646921889
XLV,DIV,0.535688096466678,0.535688096466678,0.039473216469218884,0.037766955214966896
DIV,XOP,0.5356662981493883,0.5356662981493883,0.037766955214966896,0.02992314181638194
EWT,THD,0.5295689811572621,0.5295689811572621,0.08240226352355705,0.05327342931988182
XBI,AVUV,0.528246602457429,0.528246602457429,0.09196153811655176,0.0766268827762239
KIE,RYLD,0.5253887643618148,0.5253887643618148,0.06157203537539561,0.028255781493418577
AVUV,EWS,0.5225771859324357,0.5225771859324357,0.0766268827762239,0.03947321646921889
AVUV,CIBR,0.5101138324515054,0.5101138324515054,0.0766268827762239,0.06715597389878472
EWT,VTV,0.5067584471359622,0.5067584471359622,0.08240226352355705,0.04961234963809811
CIBR,VTV,0.5032044980934751,0.5032044980934751,0.06715597389878472,0.04961234963809811
VTV,XOP,0.5008803372431083,0.5008803372431083,0.04961234963809811,0.02992314181638194
EWT,CIBR,0.5001532535032552,0.5001532535032552,0.08240226352355705,0.06715597389878472
EWS,JETS,0.4964474249622988,0.4964474249622988,0.03947321646921889,0.037742840946723304
SPYD,EWS,0.4961490100880626,0.4961490100880626,0.047558391046048074,0.03947321646921889
EWS,DIV,0.4959248798118118,0.4959248798118118,0.03947321646921889,0.037766955214966896
KIE,XLV,0.49282007288304647,0.49282007288304647,0.06157203537539561,0.039473216469218884
DIV,JETS,0.4889378224904119,0.4889378224904119,0.037766955214966896,0.037742840946723304
XBI,AVDV,0.4855986145414125,0.4855986145414125,0.09196153811655176,0.04597360240834823
EWT,AVUV,0.48520228232556234,0.48520228232556234,0.08240226352355705,0.0766268827762239
EWT,JETS,0.48473325696784814,0.48473325696784814,0.08240226352355705,0.037742840946723304
XBI,JETS,0.4791475311391726,0.4791475311391726,0.09196153811655176,0.037742840946723304
SPYD,XOP,0.4722202558236823,0.4722202558236823,0.047558391046048074,0.02992314181638194
XBI,SPYD,0.4630307411103797,0.4630307411103797,0.09196153811655176,0.047558391046048074
CIBR,AVDV,0.4617610595215683,0.4617610595215683,0.06715597389878472,0.04597360240834823
XOP,RYLD,0.45505121306293217,0.45505121306293217,0.02992314181638194,0.028255781493418577
XLV,RYLD,0.443894315663849,0.443894315663849,0.039473216469218884,0.028255781493418577
CIBR,EWS,0.4409548618486776,0.4409548618486776,0.06715597389878472,0.03947321646921889
KIE,JETS,0.43892010519212626,0.43892010519212626,0.06157203537539561,0.037742840946723304
XBI,DIV,0.43510941713044465,0.43510941713044465,0.09196153811655176,0.037766955214966896
THD,RYLD,0.42518890196487724,0.42518890196487724,0.05327342931988182,0.028255781493418577
CIBR,JETS,0.4242147704933067,0.4242147704933067,0.06715597389878472,0.037742840946723304
XBI,EWS,0.42205999084176377,0.42205999084176377,0.09196153811655176,0.03947321646921889
AVUV,XLV,0.4212588668240977,0.4212588668240977,0.0766268827762239,0.039473216469218884
THD,VTV,0.408878025231994,0.408878025231994,0.05327342931988182,0.04961234963809811
XBI,EWT,0.3935544883203781,0.3935544883203781,0.09196153811655176,0.08240226352355705
XBI,CIBR,0.3890418839597589,0.3890418839597589,0.09196153811655176,0.06715597389878472
THD,JETS,0.38259000722264047,0.38259000722264047,0.05327342931988182,0.037742840946723304
AVDV,XLV,0.3802544762043906,0.3802544762043906,0.04597360240834823,0.039473216469218884
KIE,AVDV,0.37714339341501985,0.37714339341501985,0.06157203537539561,0.04597360240834823
EWS,XLV,0.36900979149081964,0.36900979149081964,0.03947321646921889,0.039473216469218884
XLV,JETS,0.36417332021626164,0.36417332021626164,0.039473216469218884,0.037742840946723304
KIE,EWS,0.3622645211422623,0.3622645211422623,0.06157203537539561,0.03947321646921889
AVUV,THD,0.3601568359481853,0.3601568359481853,0.0766268827762239,0.05327342931988182
XBI,THD,0.342273964377115,0.342273964377115,0.09196153811655176,0.05327342931988182
AVDV,XOP,0.33835749919153585,0.33835749919153585,0.04597360240834823,0.02992314181638194
CIBR,SPYD,0.33573162826271047,0.33573162826271047,0.06715597389878472,0.047558391046048074
CIBR,KIE,0.32995434428102155,0.32995434428102155,0.06715597389878472,0.06157203537539561
KIE,XOP,0.3265245915431666,0.3265245915431666,0.06157203537539561,0.02992314181638194
CIBR,THD,0.3248408830603664,0.3248408830603664,0.06715597389878472,0.05327342931988182
CIBR,DIV,0.3174034719115272,0.3174034719115272,0.06715597389878472,0.037766955214966896
THD,SPYD,0.31351563723904374,0.31351563723904374,0.05327342931988182,0.047558391046048074
THD,DIV,0.30563874359631243,0.30563874359631243,0.05327342931988182,0.037766955214966896
EWT,DIV,0.29705566134452127,0.29705566134452127,0.08240226352355705,0.037766955214966896
EWT,SPYD,0.29236204445614844,0.29236204445614844,0.08240226352355705,0.047558391046048074
EWS,XOP,0.2892337804432244,0.2892337804432244,0.03947321646921889,0.02992314181638194
XBI,KIE,0.28615004775775593,0.28615004775775593,0.09196153811655176,0.06157203537539561
CIBR,XOP,0.2809563697267953,0.2809563697267953,0.06715597389878472,0.02992314181638194
THD,XLV,0.26302936734290744,0.26302936734290744,0.05327342931988182,0.039473216469218884
CIBR,XLV,0.2482697704949411,0.2482697704949411,0.06715597389878472,0.039473216469218884
XLV,XOP,0.2037382774207002,0.2037382774207002,0.039473216469218884,0.02992314181638194
XBI,XOP,0.19720170953947186,0.19720170953947186,0.09196153811655176,0.02992314181638194
EWT,XOP,0.19544789425065107,0.19544789425065107,0.08240226352355705,0.02992314181638194
JETS,XOP,0.18918688256199054,0.18918688256199054,0.037742840946723304,0.02992314181638194
EWT,XLV,0.18129208955527532,0.18129208955527532,0.08240226352355705,0.039473216469218884
THD,XOP,0.1635448654890682,0.1635448654890682,0.05327342931988182,0.02992314181638194
KIE,THD,0.14260455091715765,0.14260455091715765,0.06157203537539561,0.05327342931988182
EWT,KIE,0.11877863508432622,0.11877863508432622,0.08240226352355705,0.06157203537539561
SGOV,XBI,-0.04464790744875587,0.04464790744875587,0.2112283814871823,0.09196153811655176
SGOV,RYLD,-0.042503838170629284,0.042503838170629284,0.2112283814871823,0.028255781493418577
SGOV,AVDV,-0.03526017861608408,0.03526017861608408,0.2112283814871823,0.04597360240834823
SGOV,EWS,-0.033510407068865516,0.033510407068865516,0.2112283814871823,0.03947321646921889
SGOV,EWT,-0.03213876136296675,0.03213876136296675,0.2112283814871823,0.08240226352355705
SGOV,AVUV,-0.029738067327914758,0.029738067327914758,0.2112283814871823,0.0766268827762239
SGOV,KIE,-0.029046816572704554,0.029046816572704554,0.2112283814871823,0.06157203537539561
SGOV,VTV,-0.022464826059039763,0.022464826059039763,0.2112283814871823,0.04961234963809811
SGOV,SPYD,0.022430451532201096,0.022430451532201096,0.2112283814871823,0.047558391046048074
SGOV,THD,-0.02191756232722721,0.02191756232722721,0.2112283814871823,0.05327342931988182
SGOV,XOP,-0.019923589061629672,0.019923589061629672,0.2112283814871823,0.02992314181638194
SGOV,CIBR,-0.016266511806655455,0.016266511806655455,0.2112283814871823,0.06715597389878472
SGOV,XLV,0.006119934851452228,0.006119934851452228,0.2112283814871823,0.039473216469218884
SGOV,JETS,-0.0032849745059082523,0.0032849745059082523,0.2112283814871823,0.037742840946723304
SGOV,DIV,0.0030499633232443065,0.0030499633232443065,0.2112283814871823,0.037766955214966896
