Month,Benchmark,ExcessReturn
2023-12-31,QQQ,-0.4769369821044196
2024-02-29,QQQ,-0.3758365287586922
2024-01-31,QQQ,-0.3560197106663061
2023-11-30,QQQ,-0.3162040687361727
2023-09-30,QQQ,-0.30509222252926604
2023-06-30,QQQ,-0.3024349242066715
2023-10-31,QQQ,-0.29025002732924743
2023-08-31,QQQ,-0.23765574093290232
2024-03-31,QQQ,-0.2164794621920636
2023-05-31,QQQ,-0.2137535113658553
2024-04-30,QQQ,-0.1951201873507853
2023-12-31,SPY,-0.190138845958002
2023-12-31,VTI,-0.18885092938723136
2024-02-29,SPY,-0.17174511148386395
2023-09-30,SPY,-0.17113660847337475
2023-06-30,SPY,-0.16921650134804045
2023-07-31,QQQ,-0.1645533863746822
2023-06-30,VTI,-0.16271815404155143
2023-09-30,VTI,-0.15845659526836453
2024-02-29,VTI,-0.1561220230855127
2024-01-31,SPY,-0.13697124454233522
2024-06-30,QQQ,-0.12866564759465704
2023-08-31,SPY,-0.12382726684462009
2024-01-31,VTI,-0.12296423967065517
